Company,Ticker,Sector,Year,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit Before Tax,Tax,Net Profit,EPS,Equity,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets,CFO,CFI,CFF,Net Cash Flow,Free Cash Flow,Debtor Days,Inventory Days,Days Payable,Cash Conversion Cycle,Working Capital Days,CPI_Combined_Index,CPI_Inflation_Rate,WPI,Repo_Rate,Reverse_Repo_Rate,oil_price,exchange_rate
Sunteck Realty,SUNTECK,Real Estate,Mar 2024,565,447,118,21%,55,68,10,95.0,25%,71,4.84,15.0,3110.0,375.0,4419.0,7918.0,490.0,18.0,230.0,7179.0,7918.0,111.0,249.0,-353.0,7.0,48.0,189.0,,,189.0,1467.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Tech Mahindra,TECHM,Information Technology,Mar 2024,51996,47489,4506,9%,927,392,1817,3224.0,26%,2397,24.14,441.0,26228.0,2537.0,13943.0,43149.0,13903.0,133.0,3238.0,25875.0,43149.0,6376.0,-1318.0,-4767.0,291.0,5639.0,80.0,,,80.0,23.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
TCS,TCS,Information Technology,Mar 2024,240893,176597,64296,27%,3464,778,4985,61997.0,26%,46099,126.88,362.0,90127.0,8021.0,46962.0,145472.0,19604.0,1564.0,31762.0,92542.0,145472.0,44338.0,6091.0,-48536.0,1893.0,41688.0,81.0,,,81.0,34.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Glenmark Pharma,GLENMARK,Pharmaceuticals,Mar 2024,11813,10618,1195,10%,336,516,582,434.0,430%,-1434,-53.22,28.0,7820.0,1231.0,5279.0,14358.0,4210.0,662.0,790.0,8697.0,14358.0,-265.0,4387.0,-3906.0,215.0,-1162.0,57.0,208.0,210.0,56.0,-2.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
JB Chemicals,JBCHEPHARM,Pharmaceuticals,Mar 2024,3484,2587,897,26%,37,44,138,752.0,26%,553,35.61,16.0,2908.0,378.0,687.0,3988.0,2004.0,76.0,388.0,1519.0,3988.0,801.0,-404.0,-385.0,11.0,540.0,72.0,155.0,110.0,117.0,55.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Jindal Stainless,JSL,Metals & Mining,Mar 2024,38562,34052,4511,12%,515,554,879,3592.0,25%,2693,32.95,165.0,14193.0,6052.0,10355.0,30765.0,13254.0,1112.0,1246.0,15152.0,30765.0,4818.0,-3229.0,-829.0,760.0,3367.0,27.0,108.0,95.0,41.0,23.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Coforge,COFORGE,Information Technology,Mar 2024,9009,7562,1447,16%,32,126,297,1056.0,21%,836,26.14,62.0,3565.0,726.0,1708.0,6061.0,2353.0,23.0,0.0,3685.0,6061.0,903.0,-265.0,-887.0,-249.0,644.0,73.0,,,73.0,30.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Mahindra Lifespace,MAHLIFE,Real Estate,Mar 2024,212,383,-171,-81%,246,7,14,54.0,-81%,98,4.61,155.0,1718.0,877.0,2199.0,4949.0,24.0,5.0,914.0,4006.0,4949.0,-661.0,214.0,489.0,42.0,-677.0,184.0,,,184.0,2238.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
HG Infra Engineering,HGINFRA,Ports & Infrastructure,Mar 2024,5378,4315,1064,20%,34,217,141,740.0,27%,539,82.64,65.0,2390.0,1513.0,1435.0,5403.0,742.0,14.0,10.0,4637.0,5403.0,-311.0,17.0,319.0,26.0,-525.0,46.0,48.0,135.0,-41.0,74.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Mrs. Bectors Food,BECTORFOOD,FMCG,Mar 2024,1624,1381,243,15%,19,12,61,188.0,25%,140,4.77,59.0,604.0,245.0,192.0,1100.0,524.0,94.0,4.0,478.0,1100.0,153.0,-224.0,69.0,-1.0,-61.0,30.0,44.0,45.0,29.0,8.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
HEG,HEG,Metals & Mining,Mar 2024,2393,2011,382,16%,223,36,175,395.0,21%,312,16.15,39.0,4387.0,623.0,653.0,5701.0,1816.0,212.0,1200.0,2474.0,5701.0,612.0,-184.0,-324.0,104.0,244.0,78.0,379.0,135.0,321.0,111.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Insecticides (India),INSECTICID,Agriculture,Mar 2024,1966,1804,162,8%,10,11,29,132.0,23%,102,34.49,30.0,982.0,87.0,620.0,1719.0,286.0,142.0,23.0,1268.0,1719.0,187.0,-46.0,-98.0,42.0,143.0,55.0,221.0,115.0,161.0,97.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
DCM Shriram,DCMSHRIRAM,Agriculture,Mar 2024,10922,9932,991,9%,99,88,303,699.0,36%,447,28.67,31.0,6491.0,2152.0,2874.0,11547.0,4222.0,2615.0,54.0,4656.0,11547.0,794.0,-1070.0,169.0,-107.0,-514.0,22.0,168.0,65.0,124.0,34.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Sun Pharma,SUNPHARMA,Pharmaceuticals,Mar 2024,48497,35479,13018,27%,865,238,2557,11088.0,13%,9610,39.91,240.0,63427.0,3274.0,18387.0,85328.0,23248.0,5354.0,15026.0,41700.0,85328.0,12135.0,-763.0,-6710.0,4662.0,9964.0,85.0,338.0,194.0,229.0,55.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
HCLTech,HCLTECH,Information Technology,Mar 2024,109913,85715,24198,22%,1495,553,4173,20967.0,25%,15710,57.86,543.0,67720.0,5756.0,24987.0,99006.0,35063.0,108.0,7137.0,56698.0,99006.0,22448.0,-6608.0,-15464.0,376.0,21432.0,85.0,,,85.0,31.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Deepak Fertilisers & Petrochemicals Corporation,DEEPAKFERT,Agriculture,Mar 2024,8676,7389,1287,15%,123,404,334,672.0,30%,468,35.87,126.0,5416.0,4149.0,2226.0,11917.0,6258.0,754.0,261.0,4644.0,11917.0,732.0,-376.0,-410.0,-54.0,-94.0,62.0,74.0,80.0,56.0,20.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Jyothy Labs,JYOTHYLAB,FMCG,Mar 2024,2757,2277,480,17%,54,5,50,479.0,23%,369,10.06,37.0,1772.0,51.0,542.0,2401.0,1125.0,13.0,192.0,1071.0,2401.0,458.0,-344.0,-135.0,-21.0,443.0,27.0,74.0,72.0,29.0,40.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
NMDC,NMDC,Metals & Mining,Mar 2024,21308,14014,7294,34%,1087,78,351,7952.0,30%,5567,6.34,293.0,25363.0,3359.0,6646.0,35661.0,3377.0,3235.0,956.0,28094.0,35661.0,7394.0,-6076.0,-1302.0,16.0,5547.0,60.0,,,60.0,9.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
National Fertilizers,NFL,Agriculture,Mar 2024,23556,22939,617,3%,196,277,362,174.0,14%,150,3.06,491.0,2055.0,4091.0,4563.0,11199.0,3831.0,242.0,336.0,6791.0,11199.0,668.0,-334.0,-318.0,16.0,386.0,63.0,41.0,31.0,72.0,-3.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Finolex Cables,FINCABLES,Consumer Durables,Mar 2024,5014,4426,588,12%,321,2,44,864.0,25%,652,42.61,31.0,4915.0,18.0,671.0,5635.0,444.0,168.0,3584.0,1439.0,5635.0,577.0,-440.0,-112.0,26.0,577.0,13.0,53.0,22.0,45.0,68.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Biocon,BIOCON,Pharmaceuticals,Mar 2024,14756,11540,3216,22%,853,974,1569,1525.0,15%,1298,8.52,600.0,19183.0,16277.0,19693.0,55753.0,30644.0,7993.0,1000.0,16117.0,55753.0,2954.0,-1002.0,-2333.0,-380.0,1046.0,154.0,368.0,467.0,55.0,-68.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Rashtriya Chemicals & Fertilizers (RCF),RCF,Agriculture,Mar 2024,16981,16461,520,3%,204,190,233,301.0,25%,225,4.08,552.0,4054.0,3297.0,3575.0,11477.0,2558.0,431.0,992.0,7497.0,11477.0,-422.0,-464.0,1032.0,145.0,-840.0,76.0,95.0,71.0,101.0,30.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Torrent Pharma,TORNTPHARM,Pharmaceuticals,Mar 2024,10728,7360,3368,31%,146,354,808,2352.0,30%,1656,48.94,169.0,6687.0,4022.0,3627.0,14505.0,8138.0,361.0,173.0,5834.0,14505.0,3266.0,-160.0,-2780.0,327.0,2967.0,63.0,310.0,284.0,89.0,-27.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Welspun Corp,WELCORP,Metals & Mining,Mar 2024,17340,15778,1561,9%,504,304,348,1413.0,20%,1136,42.44,131.0,5467.0,1967.0,4249.0,11813.0,4800.0,87.0,1100.0,5827.0,11813.0,1306.0,373.0,-1877.0,-198.0,1022.0,38.0,70.0,68.0,40.0,12.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Symphony,SYMPHONY,Consumer Durables,Mar 2024,1156,985,171,15%,48,12,26,181.0,18%,148,21.48,14.0,735.0,170.0,291.0,1210.0,327.0,0.0,373.0,510.0,1210.0,162.0,193.0,-367.0,-12.0,156.0,53.0,140.0,81.0,112.0,17.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Brigade Enterprises,BRIGADE,Real Estate,Mar 2024,4897,3695,1202,25%,160,491,302,569.0,29%,401,14.66,231.0,3418.0,5470.0,8740.0,17860.0,4593.0,1232.0,50.0,11985.0,17860.0,334.0,-379.0,241.0,195.0,66.0,37.0,2498.0,245.0,2290.0,-24.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Godrej Properties,GODREJPROP,Real Estate,Mar 2024,3036,3165,-130,-4%,1326,152,45,1000.0,25%,747,26.08,139.0,9853.0,10679.0,15063.0,35735.0,997.0,250.0,3150.0,31337.0,35735.0,-693.0,-1974.0,3258.0,591.0,-1386.0,37.0,,,37.0,602.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Kaveri Seed Company,KSCL,Agriculture,Mar 2024,1146,860,286,25%,63,0,28,321.0,7%,300,58.08,10.0,1222.0,0.0,815.0,2048.0,297.0,134.0,476.0,1140.0,2048.0,389.0,38.0,-425.0,3.0,289.0,36.0,467.0,155.0,347.0,80.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Prestige Estates,PRESTIGE,Real Estate,Mar 2024,7877,5379,2498,32%,1560,1219,716,2122.0,23%,1629,34.28,401.0,10888.0,13458.0,23227.0,47974.0,8669.0,2137.0,1279.0,35889.0,47974.0,1297.0,-2455.0,1969.0,812.0,-603.0,57.0,,,57.0,104.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
National Aluminium (NALCO),NATIONALUM,Metals & Mining,Mar 2024,13149,10348,2801,21%,678,17,750,2712.0,27%,1988,10.83,918.0,13470.0,96.0,4751.0,19235.0,7383.0,4573.0,342.0,6938.0,19235.0,2719.0,-2000.0,-739.0,-20.0,1075.0,4.0,252.0,206.0,50.0,6.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
EID Parry (India),EIDPARRY,Agriculture,Mar 2024,29413,26825,2588,9%,304,295,421,2175.0,26%,1618,50.68,18.0,7040.0,1740.0,12688.0,21487.0,4896.0,520.0,1275.0,14796.0,21487.0,1974.0,-1740.0,-497.0,-263.0,1051.0,23.0,112.0,121.0,14.0,27.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Mphasis,MPHASIS,Information Technology,Mar 2024,13279,10857,2422,18%,218,161,410,2068.0,25%,1555,82.27,189.0,8606.0,1544.0,3662.0,14000.0,5533.0,61.0,3090.0,5316.0,14000.0,2180.0,-2496.0,77.0,-239.0,2088.0,67.0,,,67.0,-27.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Newgen Software,NEWGEN,Information Technology,Mar 2024,1244,956,288,23%,48,4,28,304.0,17%,252,17.93,140.0,1084.0,49.0,414.0,1686.0,248.0,3.0,365.0,1070.0,1686.0,281.0,-217.0,-47.0,17.0,268.0,130.0,,,130.0,54.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Container Corporation of India (CONCOR),CONCOR,Ports & Infrastructure,Mar 2024,8653,6695,1959,23%,400,72,619,1669.0,24%,1262,16.55,305.0,11519.0,939.0,1276.0,14038.0,6015.0,893.0,1107.0,6024.0,14038.0,1388.0,-699.0,-840.0,-150.0,603.0,14.0,,,14.0,-11.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Amber Enterprises India,AMBER,Consumer Durables,Mar 2024,6729,6238,491,7%,54,167,187,191.0,27%,139,39.44,34.0,2031.0,1539.0,2987.0,6590.0,2825.0,91.0,217.0,3457.0,6590.0,965.0,-1035.0,-122.0,-191.0,567.0,85.0,56.0,144.0,-3.0,-39.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Jindal Steel & Power,JINDALSTEL,Metals & Mining,Mar 2024,50354,40153,10202,20%,156,1294,2822,6241.0,5%,5943,58.21,100.0,44216.0,16472.0,17888.0,78676.0,48384.0,9611.0,819.0,19862.0,78676.0,6008.0,-8344.0,1381.0,-955.0,-2418.0,12.0,117.0,78.0,52.0,-21.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Peninsula Land,PENINLAND,Real Estate,Mar 2024,566,438,128,23%,48,39,9,128.0,-0%,128,4.17,62.0,184.0,307.0,448.0,1001.0,309.0,0.0,221.0,472.0,1001.0,180.0,-101.0,-79.0,0.0,182.0,8.0,441.0,211.0,238.0,-66.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
UPL,UPL,Agriculture,Mar 2024,43098,38801,4297,10%,231,3852,2763,-2087.0,-10%,-1878,-14.21,150.0,24657.0,29754.0,30579.0,85140.0,39056.0,2965.0,2154.0,40965.0,85140.0,2321.0,-2509.0,164.0,-24.0,367.0,138.0,198.0,196.0,141.0,52.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Oracle Financial Services,OFSS,Information Technology,Mar 2024,6373,3590,2782,44%,342,28,74,3022.0,27%,2219,256.07,43.0,7816.0,43.0,1848.0,9749.0,805.0,3.0,0.0,8942.0,9749.0,1791.0,1611.0,-1958.0,1443.0,1761.0,76.0,,,76.0,48.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Cipla,CIPLA,Pharmaceuticals,Mar 2024,25774,19483,6291,24%,552,90,1051,5702.0,27%,4154,51.05,161.0,26545.0,559.0,5267.0,32533.0,9607.0,1153.0,5449.0,16323.0,32533.0,4134.0,-2982.0,-1200.0,-49.0,2819.0,68.0,217.0,102.0,182.0,120.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
ITC,ITC,FMCG,Mar 2024,67932,42744,25188,37%,3330,39,1518,26961.0,23%,20751,16.39,1248.0,73259.0,303.0,16944.0,91754.0,27820.0,2861.0,31114.0,29959.0,91754.0,17179.0,1563.0,-18551.0,191.0,13724.0,22.0,191.0,65.0,148.0,39.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Aegis Logistics,AEGISLOG,Oil & Gas,Mar 2024,7046,6123,923,13%,190,116,135,861.0,22%,672,16.22,35.0,3859.0,2665.0,1369.0,7929.0,4139.0,697.0,194.0,2899.0,7929.0,656.0,-712.0,256.0,200.0,42.0,27.0,4.0,28.0,3.0,-8.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Zensar Technologies,ZENSARTECH,Information Technology,Mar 2024,4902,4030,872,18%,159,21,134,876.0,24%,665,29.34,45.0,3517.0,186.0,899.0,4648.0,1034.0,5.0,1408.0,2200.0,4648.0,642.0,-476.0,-197.0,-31.0,627.0,55.0,,,55.0,27.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Kajaria Ceramics,KAJARIACER,Consumer Durables,Mar 2024,4474,3768,706,16%,35,17,148,576.0,25%,432,26.5,16.0,2601.0,239.0,684.0,3539.0,1638.0,68.0,18.0,1815.0,3539.0,602.0,-298.0,-216.0,88.0,323.0,51.0,111.0,61.0,101.0,47.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Polycab India,POLYCAB,Consumer Durables,Mar 2024,18039,15548,2492,14%,221,108,245,2359.0,24%,1803,118.75,150.0,8037.0,161.0,3718.0,12066.0,2338.0,578.0,1822.0,7328.0,12066.0,1296.0,-752.0,-387.0,157.0,438.0,41.0,105.0,82.0,65.0,59.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Puravankara,PURVA,Real Estate,Mar 2024,2185,1730,456,21%,75,434,28,68.0,38%,42,1.78,119.0,1765.0,3325.0,6518.0,11727.0,163.0,2.0,36.0,11526.0,11727.0,896.0,13.0,-313.0,597.0,842.0,83.0,,,83.0,32.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Avanti Feeds,AVANTIFEED,Agriculture,Mar 2024,5369,4909,460,9%,136,3,56,537.0,27%,394,26.21,14.0,2352.0,17.0,716.0,3098.0,497.0,9.0,746.0,1847.0,3098.0,260.0,-218.0,-63.0,-21.0,129.0,10.0,75.0,27.0,57.0,48.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
SAIL,SAIL,Metals & Mining,Mar 2024,105378,94229,11149,11%,665,2474,5278,4062.0,24%,3067,7.42,4131.0,52971.0,36323.0,47598.0,141022.0,72426.0,6141.0,4589.0,57867.0,141022.0,2911.0,-4261.0,1362.0,12.0,-1297.0,29.0,222.0,103.0,148.0,-20.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
PNC Infratech,PNCINFRA,Ports & Infrastructure,Mar 2024,8650,6645,2005,23%,82,660,177,1249.0,27%,909,35.45,51.0,5134.0,8025.0,2400.0,15610.0,1159.0,0.0,511.0,13940.0,15610.0,-231.0,-250.0,1067.0,586.0,-278.0,69.0,83.0,103.0,49.0,22.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Transport Corporation of India (TCI),TCI,Ports & Infrastructure,Mar 2024,4024,3613,411,10%,119,13,128,388.0,9%,354,45.12,16.0,1988.0,194.0,304.0,2501.0,862.0,109.0,543.0,988.0,2501.0,299.0,-404.0,18.0,-87.0,57.0,54.0,,,54.0,53.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Emami,EMAMILTD,FMCG,Mar 2024,3578,2632,946,26%,41,10,186,791.0,8%,724,16.58,44.0,2403.0,94.0,728.0,3269.0,1114.0,8.0,442.0,1706.0,3269.0,779.0,-210.0,-563.0,6.0,750.0,50.0,102.0,143.0,9.0,30.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Tata Consumer Products,TATACONSUM,FMCG,Mar 2024,15206,12922,2284,15%,-81,130,377,1696.0,23%,1215,11.63,95.0,15962.0,3477.0,8345.0,27879.0,19358.0,190.0,871.0,7461.0,27879.0,1937.0,-1911.0,256.0,281.0,1626.0,22.0,140.0,136.0,25.0,-35.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Rail Vikas Nigam (RVNL),RVNL,Ports & Infrastructure,Mar 2024,21879,20525,1354,6%,1266,568,21,2030.0,24%,1551,7.44,2085.0,6637.0,6033.0,4822.0,19577.0,367.0,94.0,2381.0,16735.0,19577.0,2956.0,-1402.0,-1287.0,267.0,2630.0,18.0,,,18.0,34.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
GAIL,GAIL,Oil & Gas,Mar 2024,133228,118914,14314,11%,2672,719,3672,12595.0,21%,9903,15.06,6575.0,70422.0,21794.0,25944.0,124735.0,55188.0,23627.0,21910.0,24010.0,124735.0,12586.0,-8226.0,-3457.0,902.0,98.0,26.0,20.0,22.0,24.0,-8.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
IRCON International,IRCON,Ports & Infrastructure,Mar 2024,12514,11406,1108,9%,403,149,100,1261.0,26%,930,9.88,188.0,5683.0,2570.0,9011.0,17452.0,1736.0,549.0,1553.0,13614.0,17452.0,-79.0,-720.0,640.0,-158.0,-887.0,23.0,,,23.0,-41.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
KNR Constructions,KNRCON,Ports & Infrastructure,Mar 2024,4429,3380,1049,24%,162,106,157,948.0,21%,752,27.64,56.0,3498.0,1262.0,987.0,5804.0,806.0,2.0,115.0,4880.0,5804.0,-297.0,-34.0,496.0,165.0,-374.0,56.0,49.0,62.0,42.0,77.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Voltas,VOLTAS,Consumer Durables,Mar 2024,12481,12145,336,3%,253,56,48,486.0,49%,248,7.62,33.0,5787.0,744.0,5430.0,11994.0,548.0,368.0,3508.0,7571.0,11994.0,762.0,-522.0,-116.0,123.0,473.0,70.0,79.0,140.0,9.0,18.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Marico,MARICO,FMCG,Mar 2024,9653,7627,2026,21%,142,73,158,1937.0,22%,1502,11.44,129.0,3703.0,528.0,2993.0,7353.0,2724.0,44.0,602.0,3983.0,7353.0,1387.0,176.0,-1542.0,21.0,1234.0,40.0,116.0,137.0,19.0,14.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
NBCC (India),NBCC,Ports & Infrastructure,Mar 2024,10407,9890,517,5%,51,4,5,559.0,26%,414,1.49,180.0,2046.0,1.0,10513.0,12739.0,185.0,12.0,276.0,12266.0,12739.0,-6.0,-184.0,-103.0,-293.0,-50.0,102.0,,,102.0,-123.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
HPCL,HINDPETRO,Oil & Gas,Mar 2024,433857,408929,24928,6%,3725,2556,5596,20500.0,22%,16015,75.26,1419.0,45502.0,66684.0,69188.0,182794.0,79763.0,20078.0,29540.0,53413.0,182794.0,23852.0,-13019.0,-16155.0,-5322.0,13906.0,8.0,32.0,26.0,14.0,-33.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Chambal Fertilisers & Chemicals,CHAMBLFERT,Agriculture,Mar 2024,17966,15919,2047,11%,326,173,313,1887.0,32%,1276,31.84,401.0,6873.0,1874.0,2361.0,11509.0,6423.0,184.0,2431.0,2471.0,11509.0,3327.0,-382.0,-2871.0,73.0,2718.0,4.0,42.0,27.0,19.0,0.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Radico Khaitan,RADICO,FMCG,Mar 2024,4106,3599,507,12%,15,60,114,348.0,25%,262,19.61,27.0,2413.0,818.0,846.0,4104.0,1700.0,54.0,198.0,2152.0,4104.0,166.0,-226.0,24.0,-36.0,-60.0,87.0,211.0,123.0,175.0,67.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Varun Beverages,VBL,FMCG,Dec 2024,20008,15189,4818,24%,45,483,947,3433.0,23%,2634,7.67,676.0,15934.0,2826.0,3688.0,23124.0,13402.0,1167.0,60.0,8496.0,23124.0,3381.0,-4311.0,2954.0,2024.0,-359.0,15.0,114.0,64.0,66.0,16.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Hindalco,HINDALCO,Metals & Mining,Mar 2024,215962,192090,23872,11%,1519,3858,7521,14012.0,28%,10155,45.19,222.0,105924.0,56356.0,68221.0,230723.0,111810.0,14867.0,15444.0,88602.0,230723.0,24056.0,-14267.0,-10817.0,-1028.0,8378.0,28.0,111.0,94.0,45.0,9.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
V-Guard Industries,VGUARD,Consumer Durables,Mar 2024,4857,4429,428,9%,33,40,81,340.0,24%,258,5.93,43.0,1771.0,401.0,936.0,3152.0,1334.0,37.0,101.0,1679.0,3152.0,393.0,-153.0,-232.0,8.0,265.0,45.0,92.0,62.0,75.0,41.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
BPCL,BPCL,Oil & Gas,Mar 2024,448083,404001,44082,10%,3032,4149,6771,36194.0,26%,26859,61.91,2136.0,73499.0,54599.0,72184.0,202418.0,86798.0,20204.0,26631.0,68785.0,202418.0,35970.0,-10554.0,-25427.0,-12.0,26425.0,7.0,42.0,27.0,21.0,-21.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
KEI Industries,KEI,Consumer Durables,Mar 2024,8104,7267,838,10%,49,44,61,781.0,26%,581,64.35,18.0,3130.0,166.0,1342.0,4656.0,770.0,121.0,2.0,3764.0,4656.0,610.0,-353.0,-72.0,186.0,210.0,68.0,84.0,63.0,89.0,71.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
IRB Infrastructure Developers,IRB,Ports & Infrastructure,Mar 2024,7409,4387,3022,41%,793,1868,995,951.0,36%,606,0.5,604.0,13141.0,18653.0,12472.0,44870.0,25514.0,8.0,9642.0,9706.0,44870.0,4054.0,-3644.0,-477.0,-68.0,3816.0,37.0,263.0,607.0,-306.0,-54.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Triveni Engineering & Industries,TRIVENI,Agriculture,Mar 2024,5220,4593,627,12%,62,56,104,529.0,25%,395,18.05,22.0,2879.0,1424.0,799.0,5124.0,1517.0,226.0,55.0,3326.0,5124.0,100.0,-359.0,263.0,4.0,-255.0,24.0,246.0,36.0,234.0,86.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Larsen & Toubro (L&T),LT,Ports & Infrastructure,Mar 2024,221113,192355,28758,13%,4953,9512,3682,20517.0,24%,15547,95.0,275.0,86084.0,116322.0,136921.0,339602.0,42964.0,3045.0,45648.0,247946.0,339602.0,18266.0,2179.0,-25413.0,-4968.0,14056.0,81.0,32.0,255.0,-143.0,-16.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Ipca Laboratories,IPCALAB,Pharmaceuticals,Mar 2024,7662,6338,1324,17%,17,141,357,843.0,37%,523,21.57,25.0,6307.0,1438.0,3326.0,11097.0,4554.0,343.0,862.0,5339.0,11097.0,945.0,-1215.0,-553.0,-823.0,543.0,80.0,350.0,110.0,321.0,111.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
